wpdx_id,lat_deg,lon_deg,report_date,status_clean,water_source_clean,water_tech_clean,management_clean,point_id,longitude,latitude,rainfall_30d_mm,DayOfYear,DetailedQA,EVI,NDVI,RelativeAzimuth,SolarZenith,SummaryQA,ViewZenith,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,lst_celsius,soil_moisture_am,soil_moisture_pm,pop_density
6GCPX975+567,-1.0370774269,34.3580455285,2014-03-14,Non-Functional,Borehole/Tubewell,,,10,34.338101735468705,-1.0555204588404377,94.43278932571411,64.0,2116.0,0.22675,0.40590000000000004,86.03,25.72,0.0,14.97,0.10565000000000001,0.24885000000000002,0.0408,0.2179,37.416666666666686,,,2.6784400939941406
6GGP4JMG+8P3,0.1332592132,34.6267843538,2014-09-16,Non-Functional,Protected Well,,,11,34.607596320704566,0.11228941051494018,168.0503146648407,259.5,2116.0,0.41975,0.7080000000000001,-160.81,20.255,0.0,10.005,0.047900000000000005,0.28065,0.02425,0.08585000000000001,28.285000000000025,,,6.89089822769165
6GGP4MF9+6VC,0.1230643714,34.6696500863,2015-04-03,Non-Functional,Protected Well,,,12,34.65251208491054,0.11228941051494018,134.39304447174072,84.0,2116.0,0.28025,0.48000000000000004,99.485,25.42,0.0,14.395,0.09085,0.2609,0.038400000000000004,0.17165,35.795000000000016,0.46508219838142395,0.42728546261787415,7.743565559387207
6GFP57H9+C88,-0.8214683333,34.26834,2023-12-15,Non-Functional,Borehole/Tubewell,,,13,34.248270207056756,-0.8309416378105574,245.07866382598877,342.5,2116.0,0.4544,0.73285,57.57,35.775,0.0,15.1,0.045950000000000005,0.29450000000000004,0.027200000000000002,0.07985,28.04000000000002,0.42343124747276306,0.36868101358413696,1.4917460680007935
6GHM4P4C+V2R,1.107249975,33.72000122,2012-06-13,Non-Functional,Borehole/Tubewell,,,14,33.70928103658504,1.1004362230464138,157.39853286743164,160.0,4164.0,0.447,0.6901,-119.98,28.080000000000002,0.0,33.275,0.057550000000000004,0.31405,0.02985,0.1062,26.025000000000034,,,3.438371181488037
6GHM7QJ7+46F,1.280316114,33.76304245,2015-03-14,Non-Functional,Protected Well,,,15,33.75419680079102,1.2800992798703181,29.49652910232544,62.5,2116.0,0.2087,0.3665,79.29,26.545,0.0,7.495,0.11320000000000001,0.2442,0.04725,0.23745000000000002,38.48333333333335,,,3.790900945663452
6GGP3P8M+7MX,0.0657262928,34.7342461849,2013-04-12,Non-Functional,Protected Well,,,16,34.74234361332249,0.06737364630896411,359.4474892616272,91.0,2116.0,0.3899,0.7281000000000001,-158.57500000000002,20.67,0.0,31.775000000000002,0.03835,0.24485,0.02015,0.07935,27.860000000000014,,,14.398783683776855
6GHM8R32+58R,1.302985072,33.80076981,2015-03-16,Non-Functional,Borehole/Tubewell,,,17,33.799112564996996,1.3250150440762942,35.56759810447693,58.0,2116.0,0.1777,0.3286,166.155,26.555,0.0,7.05,0.11325,0.22415000000000002,0.04585,0.22485000000000002,40.435,,,3.507220983505249
6GHM8M2G+994,1.300880194,33.67595673,2015-03-13,Non-Functional,Borehole/Tubewell,,,18,33.664365272379065,1.2800992798703181,33.898643136024475,62.5,2116.0,0.19045,0.34045000000000003,80.735,26.765,0.0,7.68,0.11080000000000001,0.22435000000000002,0.0531,0.23600000000000002,37.52333333333337,,,3.7019243240356445
6GHM5RX8+GP7,1.198798299,33.81679153,2015-03-17,Non-Functional,Borehole/Tubewell,,,19,33.799112564996996,1.190267751458366,37.32189869880676,58.0,2116.0,0.15815,0.2968,163.735,26.485,0.0,7.545,0.12075000000000001,0.22225,0.0455,0.2258,41.80500000000001,,,4.362429618835449
6GGMP837+RQR,0.70461822,33.31439064,2020-02-15,Non-Functional,Borehole/Tubewell,,,20,33.30503915873126,0.6961943451926291,113.97132396697998,31.0,2150.5,0.34590000000000004,0.65035,149.305,29.560000000000002,0.5,18.555,0.05,0.23585,0.0256,0.0884,31.470000000000027,0.18089929223060608,0.1754557341337204,4.155604362487793
6GHM6Q7R+G2J,1.213832736,33.79001617,2015-03-18,Non-Functional,Borehole/Tubewell,,,21,33.799112564996996,1.235183515664342,27.46334147453308,58.0,2116.0,0.16060000000000002,0.29485,169.365,26.53,0.0,7.135,0.1228,0.22535000000000002,0.0488,0.22965000000000002,43.59500000000003,,,4.764908313751221
6GGP5G2Q+FX5,0.1511498157,34.5399911328,2014-12-09,Non-Functional,Protected Well,,,22,34.51776479229261,0.15720517472091625,153.6052190065384,338.5,2116.0,0.42215,0.72895,134.995,28.21,0.0,22.75,0.043300000000000005,0.27635000000000004,0.020800000000000003,0.0752,26.635000000000048,,,7.304262638092041
6GGPHFG6+GCF,0.5763117,34.4610583,2023-09-11,Non-Functional,Borehole/Tubewell,,,23,34.472849028086635,0.561447052574701,134.5391354560852,245.0,2116.0,0.31805,0.50265,22.17,30.66,0.0,5.32,0.09725,0.29375,0.0444,0.21895,31.49000000000001,0.2547891139984131,0.2201819121837616,5.394616603851318
6GHM3PXJ+62W,1.098106027,33.73008728,2012-06-13,Non-Functional,Borehole/Tubewell,,,24,33.70928103658504,1.1004362230464138,157.39853286743164,160.0,4164.0,0.4272,0.6704,-119.98,28.080000000000002,0.0,33.275,0.061200000000000004,0.30915000000000004,0.03005,0.1023,27.140000000000043,,,4.034881114959717
6GHM6JWV+6HR,1.24561429,33.64390182,2015-03-14,Non-Functional,Borehole/Tubewell,,,25,33.664365272379065,1.235183515664342,37.04812169075012,58.0,2116.0,0.20625000000000002,0.36285,169.61,26.675,0.0,5.6450000000000005,0.11570000000000001,0.2467,0.0465,0.22695,39.7766666666667,,,3.9261326789855957
6GGP4Q9R+C34,0.1185111193,34.790191597,2014-03-25,Non-Functional,Protected Well,,,26,34.78725937752847,0.11228941051494018,141.19587802886963,80.0,2116.0,0.31405,0.55295,-80.655,23.87,0.0,14.835,0.0747,0.26030000000000003,0.030950000000000002,0.13455,32.185,,,18.233516693115234
