water_source_clean,water_source_category,water_tech_clean,clean_adm1,clean_adm2,clean_adm3,status_clean,distance_to_primary,distance_to_secondary,distance_to_tertiary,distance_to_city,distance_to_town,local_population,served_population,crucialness,pressure,staleness_score,latitude,longitude,chirps_30_precipitation,ndvi_30_NDVI,lst_30_LST_Day_1km,pop_population,risk_score
Borehole/Tubewell,Well,Public Tapstand,Kakamega,Navakholo,Bunyala Central,"Functional, not in use",14034.045116473557,2624.168206347946,185.5276629256209,16195.414349631716,16173.706883565628,2619.0,701.0,0.2676594119893088,2.3366666666666664,67.62587076472403,0.41374,34.683829,5.4834184646606445,0.6312,23.345000000000027,6.586273670196533,2
Borehole/Tubewell,Well,Hand Pump - Afridev,Busia,Funyula,Ageng'A Nanguba,Non-Functional,14971.950102441868,901.1819222070768,5013.867244200067,27096.16279403895,14820.524686498722,1463.0,264.0,0.1804511278195488,0.88,95.11163322434358,0.222557,34.095974,3.140995740890503,0.75275,25.400000000000038,3.5404341220855717,1
Protected Well,Well,Motorized Pump - Electric,Vihiga,Hamisi,Tambua,Non-Functional,15038.419542729864,7028.246141211529,193.4888692714485,17608.94365710529,1945.8635163187955,3108.0,170.0,0.0546975546975547,0.5666666666666667,99.96848364814444,0.05171,34.792038,5.149988651275635,0.7766000000000001,22.70500000000004,7.847470283508301,1
Protected Well,Well,Motorized Pump - Electric,Siaya,Gem,Yala Township,Non-Functional,1482.0124898679317,2499.4228273290946,6796.955512742358,32763.45479557265,12655.317805449467,1803.0,207.0,0.1148086522462562,0.69,95.14161839155696,0.081505,34.523811,4.654691696166992,0.7651,23.420000000000016,5.687589168548584,1
Protected Well,Well,Motorized Pump - Electric,Siaya,Gem,North Gem,Non-Functional,1975.4807833795203,3305.625429060097,745.2240346406982,46159.47938776587,2816.711370662078,1543.0,419.0,0.271548930654569,1.3966666666666667,93.53586906279808,0.139018,34.360897,4.935092449188232,0.7586,24.57000000000005,2.799685478210449,2
Piped Water,Piped Water,Public Tapstand,Samburu,Samburu West,Lodokejek,Non-Functional,63736.62812515901,5460.529922548669,1677.83852946875,133926.91366054636,23270.34331928398,2156.5,341.0,0.1812778603268945,1.1566666666666667,23.920425468933225,0.930533,36.823963,0.9179079532623292,0.4914,28.435,0.6990487575531006,1
Protected Well,Well,Motorized Pump - Electric,Vihiga,Hamisi,Shiru,Non-Functional,20898.903393835622,298.7941637202049,356.72460479418373,21267.693021010007,10619.600830512072,4578.0,641.0,0.1400174748798602,2.1366666666666667,84.6413067478578,0.132493,34.86858,6.118499279022217,0.7462500000000001,22.69500000000005,11.734853744506836,2
Protected Well,Well,Motorized Pump - Electric,Vihiga,Hamisi,Shamakhokho,Non-Functional,20120.04702920781,831.0115138080355,977.790192442564,20433.32746118004,6971.039520763268,3252.0,315.0,0.0968634686346863,1.05,99.96848364814444,0.11927,34.834534,6.576106071472168,0.7974,22.99000000000001,10.423868179321287,1
Borehole/Tubewell,Well,Motorized Pump,Kakamega,Lugari,Chevaywa,Non-Functional,26857.82602735441,21057.90381288424,2721.776547095165,31755.56800466852,6239.30038308082,3296.0,887.0,0.2691140776699029,2.9566666666666666,30.82000904193959,0.565,34.8055,5.278154850006104,0.7153,23.470000000000027,15.261274337768556,2
Protected Well,Well,Motorized Pump - Electric,Kakamega,Matungu,Koyonzo,Non-Functional,2460.0283619432967,2837.234813561934,4520.655813146615,36100.47085525673,7313.048074924864,2948.0,376.0,0.1275440976933514,1.2533333333333334,93.44745965125956,0.403695,34.408524,5.779533386230469,0.7266,24.40500000000003,6.536980152130127,3
