DayOfYear,DetailedQA,EVI,NDVI,RelativeAzimuth,SolarZenith,SummaryQA,ViewZenith,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07
45,2185,478,1082,15608,3232,1,2455,1084,1347,549,1191
47,2116,679,1082,-1713,3531,0,920,1834,2287,918,2461
33,2120,1083,1580,974,3536,0,2133,2444,3360,921,3850
35,6281,1187,3370,2854,3557,1,2114,366,929,281,158
33,2120,1227,2117,13512,2959,1,4777,1655,2508,628,2743
33,2116,1290,2762,15748,3440,0,750,972,1708,439,1753
33,2189,3138,5632,15529,2767,1,5115,702,2472,362,1151
35,2116,1084,2009,8350,3439,0,968,1505,2260,521,2621
35,2185,3681,6402,16070,3197,1,1575,600,2672,278,1071
35,2116,861,1227,2172,3543,0,396,2765,3539,1021,4173
47,2185,544,1071,1107,3488,1,861,1369,1697,645,1476
40,2116,2737,4843,4024,3403,0,612,854,2452,396,1607
42,2116,1950,2954,15489,3232,0,1651,1486,2730,762,2336
35,2116,1294,2102,15492,3425,0,688,1724,2640,703,2914
47,2116,1000,1462,-1001,3499,0,415,2390,3208,945,3865
42,2116,1441,2568,7064,3561,0,816,1421,2378,563,3152
35,2116,1692,3203,-1770,3505,0,387,1115,2154,463,2162
42,2116,5254,8248,11140,3423,0,626,323,3297,157,634
45,2116,1184,2761,15592,3404,0,940,884,1553,363,1828
44,2116,1537,2406,-1351,3677,0,3441,1890,3083,664,3307
39,3098,3211,5628,10673,3134,3,3507,952,2835,691,1161
35,2116,671,1388,-1142,3529,0,105,1374,1814,492,1929
35,2116,3210,4854,-756,3545,0,1649,1049,3009,529,2298
33,2120,1280,1951,4863,3350,1,3718,2340,3452,763,3647
40,2261,1419,2083,8521,3223,1,4020,2158,3274,862,3727
33,2116,2983,5379,13699,3372,0,846,768,2554,297,1498
35,2116,1600,2864,16524,3371,0,277,1253,2258,540,2766
47,2185,1104,1561,15344,3106,1,2718,2501,3423,1008,4102
45,2116,929,1944,15623,3372,0,1089,1191,1759,476,1867
40,2116,2535,4522,13941,3294,0,979,973,2494,417,1720
35,2116,2377,4320,15407,3335,0,1095,991,2475,367,1952
42,2185,1018,1421,2760,3510,1,1251,2499,3321,1081,3732
40,2116,2162,4405,15905,3345,0,742,795,2010,353,1658
35,2116,1841,3116,-2003,3462,0,558,1265,2402,601,2495
40,2116,2417,4315,11973,3419,0,677,945,2394,414,1725
42,2116,1907,3115,15710,3203,0,1797,1230,2338,692,1938
35,2116,752,1508,1436,3517,0,101,1391,1885,510,1922
35,2116,4596,7947,4229,3465,0,1258,321,2790,176,686
33,4309,1302,2858,15319,2721,1,5458,1077,1926,353,1728
33,2120,1578,2940,11758,3222,0,1185,1301,2377,394,2568
40,2185,1191,1958,-2402,3507,1,768,1680,2489,741,3034
35,2376,2007,3360,16192,3005,1,2915,1251,2494,602,2553
42,2185,1134,1707,7846,3454,1,824,2037,2876,882,3427
47,2185,931,1509,2343,3508,1,1303,2025,2742,748,3929
35,2116,1194,2361,15827,3278,0,924,1124,1816,543,2339
33,2120,2096,3975,15864,2741,1,5009,963,2213,397,1934
47,2116,1008,1481,12283,3403,0,157,2462,3317,918,4136
35,2116,4721,7793,229,3506,0,1324,374,2959,201,722
37,2116,1086,1902,6093,3492,0,1170,1998,2936,445,4556
35,2116,993,1648,-164,3560,0,462,1974,2735,726,2966
35,2116,1386,2473,15326,3345,0,459,1291,2129,626,2947
37,2116,1136,2210,709,3560,0,795,1526,2390,340,3279
33,2120,3008,5170,15879,2709,1,5144,847,2641,370,1696
33,2120,1436,2590,15449,2875,1,4875,1350,2288,537,2688
40,2116,2247,3957,-12283,3386,0,39,997,2297,506,1850
