DayOfYear,DetailedQA,EVI,NDVI,RelativeAzimuth,SolarZenith,SummaryQA,ViewZenith,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07
33,2120,2197,3559,15964,2900,1,3855,1171,2459,643,1927
42,4164,1453,4222,-1674,3778,0,3643,834,1745,501,941
40,2116,4800,7025,-1352,3550,0,1606,611,3496,283,1243
33,2120,1509,2326,6439,3217,1,3782,1644,2602,882,2755
33,2120,1318,2110,15350,2846,1,5124,1738,2661,744,3102
45,2185,896,2040,15301,3470,1,1175,1019,1535,431,1612
33,3226,2755,5571,15453,2848,3,4562,736,2246,470,1090
35,2116,1209,2281,8932,3441,0,1150,1296,2060,537,2540
33,2189,3452,6592,15253,2718,1,5724,498,2326,263,770
40,2185,947,1753,9090,3417,1,806,1369,1942,675,2018
35,2116,2378,4672,16030,3218,0,1619,780,2133,340,1401
35,2116,1199,1917,16112,3126,0,2168,1726,2548,768,2837
42,2116,1065,1934,10806,3428,0,1272,1780,2630,445,3452
47,2116,1579,2778,-1784,3499,0,622,1333,2341,575,2964
35,4164,3731,5548,2128,3569,0,2517,875,3126,454,1578
35,2116,1225,2075,-1707,3536,0,578,1586,2413,669,3246
37,2116,1103,1913,11030,3469,0,815,1924,2829,513,3580
42,2116,1397,2307,16277,3126,0,2013,1759,2810,608,3242
33,2189,2406,3959,15757,2727,1,5179,1179,2703,519,2408
42,2116,3130,4772,751,3675,0,2927,1132,3158,509,2367
40,4164,2104,4083,15657,3364,0,469,935,2181,364,1654
37,2116,1136,1919,7347,3464,0,1201,1940,2856,578,3485
35,2116,2904,4961,16028,3319,0,668,920,2706,369,1757
35,2116,913,1670,15348,3497,0,427,1557,2181,595,2494
44,2185,1453,1956,-589,3574,1,2993,2448,3620,1059,3878
35,2116,1116,1784,15182,3445,0,267,2090,2991,702,3289
33,2116,3943,7873,14500,3353,0,1828,300,2342,151,620
35,2185,997,1660,16133,3078,1,2558,2041,2852,628,3649
40,2116,2588,4871,16086,3374,0,297,798,2306,330,1636
33,2189,2250,4899,15534,2725,1,5409,630,1845,283,1373
47,2185,623,1237,-3081,3575,1,382,1313,1681,636,1380
42,2185,1317,2006,14680,3304,1,1419,2046,3059,816,3668
35,2116,1589,3304,16160,3187,0,1688,966,1914,369,1909
44,2517,3249,5382,14267,2916,1,4365,920,2800,519,1346
35,2116,1663,2988,15967,3353,0,631,1296,2401,475,2948
35,2116,4990,7960,15677,3404,0,408,351,3125,177,573
35,2116,2267,4306,12159,3355,0,1565,915,2244,405,1828
40,2116,1952,4341,16026,3361,0,655,715,1798,292,1632
35,2116,3099,5268,-1131,3428,0,208,823,2596,415,1499
42,2185,1236,1733,15945,3229,1,1858,2113,2994,1044,3067
42,2116,1117,2048,6462,3461,0,1144,1716,2599,422,3355
35,2116,1115,1943,8635,3449,0,963,1739,2573,570,3226
37,2116,1201,2190,7878,3534,0,1100,1541,2405,492,3073
40,2185,2974,5578,10848,3382,1,1012,677,2371,289,1296
35,2116,3466,6484,-2345,3582,0,776,519,2388,264,1018
45,2116,1329,2941,15473,3411,0,938,888,1625,411,1565
33,2189,1603,2677,15375,2816,1,5217,1397,2405,667,2564
35,2116,953,1655,13238,3400,0,1370,1974,2755,546,3375
33,2189,2841,5252,15529,2757,1,5278,706,2245,377,1126
45,2116,1165,2641,15718,3282,0,1629,956,1625,394,1905
35,2116,2027,3967,-1873,3539,0,714,902,2062,413,1824
47,2116,762,1172,12159,3365,0,1006,1951,2474,943,2979
47,2116,1221,1740,16172,3078,0,2634,2135,3032,997,3531
45,2185,828,1621,11332,3445,1,2052,1304,1807,593,1855
35,2116,2960,4983,15755,3387,0,260,915,2719,389,2016
35,2116,1796,3276,-2073,3478,0,736,1110,2181,518,2431
35,2116,2109,4018,-2049,3547,0,845,914,2120,436,1779
35,2185,819,1505,-1833,3518,1,787,1433,1942,688,2021
45,2185,2363,3481,-636,3487,1,819,1532,3036,746,2349
40,2189,2127,3962,15238,2826,1,5339,879,2031,501,1402
35,2116,3490,5255,-1895,3626,0,2303,998,3205,447,1919
35,2116,495,977,-2403,3661,0,1079,1375,1667,679,1596
35,2116,2227,3859,15604,3370,0,806,1154,2597,438,2180
47,2185,751,1847,14817,3320,1,2911,932,1352,393,1753
35,2185,1766,2889,16072,3040,1,2824,1631,2934,569,2640
40,2185,1329,2682,11074,3420,1,669,1105,1906,462,2229
42,2185,1211,1722,10791,3386,1,1371,2196,3105,1003,3992
47,2116,951,1730,-2820,3533,0,525,1442,2044,649,1945
45,2185,1389,2771,15242,3487,1,1021,1070,1896,468,1825
40,2185,1305,2089,7092,3472,1,777,1775,2706,732,3624
35,2116,2014,3576,16203,3219,0,1481,1228,2585,413,2132
45,2116,964,1653,15509,3415,0,1197,1579,2200,725,2444
37,2116,1001,1620,1341,3531,0,1111,2133,2955,696,3504
35,2116,2324,4034,-1274,3404,0,508,1072,2487,473,2269
35,2116,1060,1811,5703,3518,0,1162,1684,2423,685,2717
35,2116,2669,4863,16010,3224,0,1726,840,2409,362,1547
47,2116,816,1489,15341,3443,0,661,1654,2233,594,2434
40,2116,2199,4243,-1697,3442,0,305,891,2205,346,1704
35,2116,2337,4176,-2831,3373,0,140,1018,2448,417,2214
45,2116,990,1708,15664,3371,0,1238,1673,2362,664,2846
35,2116,1128,2085,16021,3192,0,1449,1446,2209,529,3052
33,2120,1930,3410,13073,2941,1,4643,1065,2141,614,1635
35,2116,1268,2538,8266,3536,0,1074,1244,2088,389,2548
37,2185,2259,3646,11066,3040,1,3775,1258,2653,620,2280
35,2445,2287,4167,15134,2786,1,4942,941,2260,452,1537
43,38937,-68,-229,14543,2933,1,4468,748,714,623,550
42,2116,1335,2458,1896,3576,0,1132,1250,2043,621,2351
35,2116,917,2073,15549,3399,0,815,1054,1591,435,1491
42,2116,1444,2768,3923,3102,0,2896,1214,2127,479,2173
35,2116,1588,2819,15558,3350,0,224,1362,2422,516,3053
35,2116,2499,4210,-1872,3516,0,1282,1076,2568,525,2325
37,2116,1248,1924,8315,3398,0,1202,1669,2462,878,2986
33,2116,4047,6861,11483,3368,0,2000,535,2833,253,1082
40,2116,1847,3812,15466,3394,0,502,850,1896,374,1684
35,2185,1600,3528,-1565,3593,1,896,811,1690,374,1265
37,2116,2409,3854,6573,3296,0,1329,1130,2532,634,1775
35,2116,495,977,-2403,3661,0,1079,1375,1667,679,1596
35,2116,5258,8461,-783,3533,0,1439,258,3092,157,547
33,2120,1206,2257,15912,2914,1,3865,1403,2217,503,3107
35,2116,896,1224,918,3542,0,367,2958,3781,1139,4467
42,2116,1181,2232,7080,3432,0,1204,1454,2277,487,2413
37,2116,1381,2089,-1418,3586,0,1921,1955,2980,819,3308
44,2120,2070,3950,-1939,3741,1,2746,894,2054,466,1835
37,2116,1068,1458,-3,3623,0,2247,2636,3530,1114,4163
35,2116,1216,1983,-1974,3517,0,586,1735,2580,738,3151
35,2116,3050,4593,-1907,3563,0,1752,1109,2986,563,2411
45,2116,804,1479,15807,3265,0,1739,1411,1902,689,2180
35,2116,1665,3193,16000,3338,0,862,1139,2198,411,2595
35,2185,877,1535,8918,3481,1,1433,2079,2830,523,3338
44,2116,1398,2129,1752,3506,0,3466,2219,3405,734,3564
35,2116,1917,3768,16109,3205,0,1614,952,2095,384,1733
35,2116,3007,5556,15991,3069,0,2873,688,2383,320,1329
35,2116,1584,2669,16066,3343,0,326,1291,2221,703,3082
45,2185,1259,2778,15354,3382,1,1824,948,1675,389,1804
47,2185,1252,1773,13625,3160,1,2516,2494,3566,948,4040
40,2116,2920,5687,16086,3351,0,551,632,2232,287,1200
35,2116,1071,1840,15726,3423,0,529,1589,2302,696,2260
40,2185,1310,2315,9718,3451,1,654,1428,2284,601,2645
35,2116,997,1482,-301,3543,0,389,2473,3331,885,4089
35,2116,2367,4357,16037,3242,0,1580,913,2299,412,1713
45,2185,881,1633,11306,3458,1,1928,1453,2018,629,2161
35,2116,1204,2278,15944,3177,0,1587,1404,2229,459,3174
35,2116,1820,3358,16083,3233,0,1576,1130,2263,458,2036
37,2116,1209,2412,4733,3554,0,1143,1366,2232,340,2917
35,2116,991,1443,14822,3471,0,619,2605,3482,933,4495
35,2116,1438,2971,-2226,3557,0,1114,1027,1891,412,2037
44,2185,1289,1994,9484,3173,1,4295,2055,3067,755,3403
33,2189,1378,2019,8937,3188,1,4234,2156,3230,894,3508
35,2116,1917,3355,-769,3443,0,165,1154,2301,554,2029
37,2517,1887,3359,11265,3134,1,2441,1255,2405,768,2097
33,2190,1507,2308,14996,2943,3,4856,1834,2893,707,3006
42,2116,1530,2620,16143,3226,0,1526,1543,2630,554,2873
35,2116,1263,3081,13727,3258,0,1001,787,1496,293,1120
33,2120,1252,1920,13647,3004,1,4734,2154,3167,780,3325
42,2116,1202,2315,12087,3494,0,919,1437,2290,417,2825
35,2116,703,1731,14828,3487,0,624,971,1372,390,1309
33,2189,3081,5436,15616,2758,1,5164,765,2545,349,1258
42,2116,1182,2003,10342,3428,0,1231,1891,2834,567,3546
33,2120,2219,4119,13723,2849,1,4974,882,2099,490,1439
35,2116,2479,4323,-2183,3512,0,773,1012,2545,416,1880
40,2116,3622,6320,16557,3348,0,296,598,2649,275,1161
35,2116,1058,1870,15200,3419,0,1452,1723,2515,552,3002
35,2116,1462,2499,15970,3104,0,2686,1425,2367,640,2646
42,2116,922,1665,14821,3389,0,1516,1817,2542,507,3185
42,2116,1086,1926,3692,3532,0,1074,1841,2718,477,3482
47,2116,861,2023,16042,3326,0,475,999,1511,379,1669
42,2186,2561,3996,10697,3207,3,1501,1243,2873,579,2543
40,2116,1172,1946,2244,3478,0,1362,1604,2379,733,2960
42,2116,1169,2029,11253,3494,0,825,1596,2406,625,3077
35,2116,1126,1992,11725,3463,0,712,1481,2216,641,2175
44,4233,3064,4359,-390,3594,1,3161,1369,3464,551,1913
42,2116,2118,3454,16144,3178,0,1847,1159,2380,656,1735
35,2116,1848,3280,16071,3343,0,797,1278,2503,462,2418
35,2116,1142,1877,11781,3205,0,2072,2035,2976,617,3924
35,2116,2134,3887,15990,3209,0,1656,1048,2376,413,1715
35,2116,976,1724,592,3565,0,205,1493,2111,697,2046
35,2116,1072,1777,10827,3447,0,997,1703,2438,735,2904
45,2116,912,1776,13709,3376,0,1611,1300,1860,574,1949
35,2116,3821,8024,-4240,3443,0,87,239,2169,132,482
45,2120,2407,4503,16061,3306,0,977,880,2323,348,1690
44,2116,4187,6936,12574,3260,0,2029,574,3001,276,1070
33,2116,3467,5793,6912,3422,0,1925,771,2802,371,1613
37,2116,1153,2210,7571,3533,0,1065,1624,2542,316,3669
33,2116,3120,4678,105,3593,0,2099,1157,3180,521,2385
42,2116,1268,2372,8030,3432,0,1179,1592,2580,353,3384
33,2120,1430,2133,5181,3349,1,3828,2008,3083,853,3422
35,2116,2554,4796,3213,3519,0,1308,816,2279,366,1534
40,2116,1970,4191,15881,3320,0,875,775,1838,378,1201
40,2116,1398,2674,13177,3307,0,981,1216,2100,471,2210
35,2116,2068,3290,-1585,3488,0,754,1382,2724,626,2346
35,2116,785,1734,-1040,3605,0,334,1081,1532,488,1534
35,2116,1105,1940,223,3521,0,402,1617,2382,642,2586
35,2116,585,1214,-2167,3540,0,816,1225,1564,594,1414
40,2116,2486,4481,-280,3407,0,224,911,2389,397,1909
35,2116,1163,2059,11835,3431,0,809,1457,2209,640,2406
45,2116,1824,3987,15694,3283,0,1753,767,1757,357,1399
47,2116,643,1161,15721,3378,0,795,1739,2198,647,2142
47,2116,1359,2979,-2351,3606,0,827,885,1629,429,1175
35,2116,5215,8227,-1754,3454,0,376,311,3221,154,651
33,2190,1507,2308,14996,2943,3,4856,1834,2893,707,3006
35,2116,753,1234,-2694,3650,0,788,1870,2392,829,2316
37,2185,1774,3229,5680,3466,1,2302,1104,2174,499,1790
37,2116,903,1407,-105,3604,0,1994,2141,2840,850,3038
40,2116,2529,4182,2588,3425,0,557,1107,2673,498,2013
35,2116,2647,4801,15816,3370,0,719,864,2434,365,1594
35,2116,4377,7518,15571,3386,0,743,396,2796,190,660
35,2116,751,1568,-2431,3636,0,621,1336,1830,453,2095
33,2380,1894,2973,14647,2800,1,4669,1498,2741,682,3085
37,2116,3376,5595,14705,3106,0,2687,758,2637,427,1315
35,2116,4240,7831,7384,3424,0,98,306,2543,164,542
40,2185,973,1380,-1849,3541,1,1262,2457,3242,1040,4044
40,2185,1026,1403,3194,3556,1,1394,2523,3344,1130,3757
42,2116,1401,2556,16026,3220,0,1632,1370,2309,502,2869
35,2116,1175,1951,8,3468,0,112,1943,2883,607,3466
40,2116,938,2069,15510,3332,0,1916,1058,1606,445,1741
40,2185,2999,4888,-1514,3561,1,1857,893,2621,485,1553
35,2116,1177,2287,15060,3216,0,1283,1393,2218,404,2817
37,2116,1103,2077,5811,3529,0,1143,1640,2491,401,3346
42,2116,1201,1970,4443,3454,0,1678,1473,2196,812,2554
37,2116,1259,2165,956,3590,0,982,1801,2794,518,3347
45,2116,1461,2880,2735,3591,0,1935,1085,1958,476,1971
40,2185,2647,4271,-1023,3549,1,1762,1007,2543,537,1830
35,2116,2084,3798,16100,3292,0,1044,1049,2326,436,1884
35,2116,863,1243,-1889,3523,0,558,2300,2952,1050,3515
35,2116,1841,3322,-1566,3407,0,516,1118,2229,518,2337
35,2116,3816,7977,139,3439,0,147,247,2188,129,473
42,2116,1669,3012,16015,3205,0,1744,1273,2369,479,2489
44,2185,1467,2305,4591,3355,1,3679,2065,3280,656,3620
35,2116,1354,2137,15620,3180,0,2879,1759,2714,752,3084
47,2185,1079,1438,11402,3238,1,2352,2861,3820,1165,4504
35,2116,882,1257,8059,3429,0,318,2831,3649,1000,4657
33,2189,1419,2526,15393,2870,1,4967,1366,2285,569,2634
35,2116,2173,3858,-858,3427,0,200,1037,2302,516,2230
35,2116,1284,2419,15104,3279,0,803,1322,2156,510,2591
33,2120,1802,3085,7248,3175,1,3959,1460,2699,573,2731
47,2185,622,1065,3461,3509,1,299,1846,2279,793,2294
33,2116,915,2158,15041,3298,0,3195,940,1455,400,1530
35,2116,823,1488,5149,3464,0,421,1692,2279,622,2372
35,4164,399,777,-1311,3708,0,2139,1406,1636,836,1569
37,2116,1273,2191,4134,3535,0,1267,1852,2890,480,4162
42,2116,1205,2199,630,3587,0,1232,1427,2203,624,2429
35,2116,4179,6598,5224,3470,0,1951,635,3070,311,1317
35,2116,2917,5419,15834,3293,0,1243,714,2378,313,1395
37,2116,981,1500,4947,3464,0,2204,1955,2641,922,3172
47,2116,907,1546,-2127,3530,0,568,1769,2418,695,3747
35,2116,3153,5531,16324,3367,0,406,759,2596,326,1548
35,2116,1123,2029,15725,3418,0,431,1447,2178,615,2404
35,2446,1597,2363,16197,2976,3,3061,1824,2918,906,2974
40,2185,2918,5149,-1416,3435,1,457,809,2524,357,1660
35,2116,1115,1697,15483,3418,0,542,2095,2936,875,3519
42,4369,1859,4834,9301,3255,1,3573,571,1543,419,620
35,2116,1157,2727,13340,3548,0,603,808,1415,427,1480
47,2185,1285,1902,16266,2997,1,3135,1986,2915,898,3544
35,2185,1411,2308,696,3417,1,1125,1545,2470,719,3186
42,2116,1242,2159,9340,3517,0,1013,1619,2500,592,3095
35,2116,1652,3380,16052,3227,0,1638,941,1889,422,1822
37,2116,1309,1747,7767,3416,0,1156,2172,3090,1145,3598
42,2116,636,1171,15188,3393,0,870,1670,2112,631,2058
33,2120,1498,2602,15631,2987,1,4013,1578,2679,501,2959
42,2116,1950,2954,15489,3232,0,1651,1486,2730,762,2336
40,2116,2173,3911,-392,3419,0,42,1036,2360,440,2106
43,2120,750,1375,8736,3322,1,1644,1615,2086,776,1664
42,2116,1323,2538,6652,3565,0,1139,1318,2213,430,2629
42,2116,1785,2839,16201,3194,0,1786,1437,2573,702,2395
37,2116,1303,1814,11770,3324,0,1418,1941,2800,1065,3174
33,2116,3080,6044,15684,3357,0,1279,555,2252,241,1049
35,2116,2170,3855,-2157,3526,0,871,1103,2462,441,2159
33,2261,2291,4427,15395,2771,1,5374,802,2076,397,1509
35,2116,1275,2636,-2182,3437,0,436,1109,1896,414,2366
47,2185,1049,1436,11532,3230,1,3311,2642,3513,1141,3909
47,2185,993,1419,2771,3517,1,1106,2302,3058,1035,3708
47,2185,1226,1683,15393,3060,1,3060,2191,3079,1087,3492
40,2185,1368,2619,-2207,3513,1,775,1187,2011,544,2324
35,2116,2116,3706,15974,3206,0,1687,1162,2524,451,1829
35,2116,1964,3794,16180,3193,0,1680,972,2161,382,1781
47,2116,622,1282,1467,3540,0,246,1389,1799,497,1839
40,2116,5375,8049,111,3532,0,1496,380,3446,194,806
45,2116,2374,4113,8260,3309,0,1204,1022,2446,475,2112
47,2185,759,1121,7891,3435,1,861,2122,2660,1019,3038
44,2445,2047,3000,1867,3627,1,4380,1783,3288,674,3213
47,2185,551,1113,1342,3493,1,930,1283,1605,631,1392
47,2185,422,873,3325,3455,1,783,1283,1529,629,1338
44,35221,3745,6316,7456,3197,1,3504,697,2722,457,945
35,2116,2036,3573,15042,3422,0,388,1130,2396,489,1481
42,2116,1160,2067,5733,3508,0,823,1600,2420,574,2925
35,2116,905,2311,15662,3391,0,842,828,1322,351,1117
45,2116,888,1827,14168,3383,0,1689,1274,1827,509,2044
35,2116,1296,2394,16102,3338,0,436,1397,2272,502,2669
35,2116,1714,3400,16075,3199,0,1637,995,2017,409,1946
40,2185,2637,4490,-1156,3506,1,1230,994,2620,431,2106
35,2116,2044,2870,-1833,3524,0,1390,1724,3096,870,3301
44,2185,1486,2469,6372,3301,1,3947,1884,3100,522,3399
35,2116,1449,2628,16239,3190,0,1439,1419,2427,470,2754
39,2257,2473,4760,15189,3078,1,3244,760,2122,390,1361
35,4164,723,1461,3805,3672,0,2440,1337,1835,755,1362
47,2116,1273,2504,14017,3420,0,528,1179,1943,526,2209
35,2116,1533,3229,15760,3352,0,553,984,1914,372,2087
33,2189,1315,2441,15381,2858,1,5035,1307,2145,539,2420
35,2116,2352,3939,15961,3055,0,3027,1117,2554,527,1879
35,2116,961,2258,15177,3401,0,797,937,1485,384,1254
35,2185,1391,2598,16367,3314,1,497,1195,2024,586,2977
37,2116,1250,2218,5715,3530,0,1182,1712,2686,463,3288
39,2062,3582,5687,4473,3419,3,3048,887,2959,526,1325
35,2116,1934,3109,-1653,3473,0,380,1313,2480,697,2581
44,2185,1349,1883,14712,3304,1,1335,2121,3099,1031,3727
35,2116,1181,2057,16070,3344,0,891,1523,2294,693,2507
35,2116,2552,4926,15698,3370,0,855,757,2221,330,1320
35,2116,1711,2835,15863,3345,0,329,1395,2486,648,3322
35,2116,2109,3407,-1070,3458,0,376,1455,2825,675,2100
35,2116,2528,4554,-1818,3463,0,870,901,2395,396,1933
42,2116,1862,2925,15161,3175,0,2055,1372,2502,740,2240
37,2116,1008,2103,6881,3565,0,2186,1247,1907,417,2213
35,2116,2206,4078,15877,3232,0,1643,935,2221,434,1710
35,2116,1598,3232,15951,3284,0,915,1041,2001,414,2071
33,2120,1856,3236,15289,2819,1,5309,1185,2316,557,2040
35,2116,1614,3030,-2248,3500,0,377,1163,2163,485,2163
33,2189,2172,3491,14185,2812,1,4901,1450,2833,736,2489
35,2116,3522,5895,15781,3384,0,641,717,2779,321,1275
35,2116,770,1629,2346,3566,0,556,1270,1762,459,1803
40,2116,1155,2469,15706,3324,0,977,991,1650,452,1571
35,2116,2036,3573,15042,3422,0,388,1130,2396,489,1481
35,2116,1738,3201,4429,3367,0,64,1168,2258,470,2597
35,2116,2091,3401,16086,3093,0,2656,1198,2428,657,2160
35,2116,782,1220,-2335,3634,0,742,2046,2613,903,2652
42,2185,1655,3050,13855,3222,1,1939,1252,2331,470,2349
35,2116,2552,4926,15698,3370,0,855,757,2221,330,1320
35,2116,3015,5219,15912,3304,0,1038,828,2628,353,1565
47,2116,630,1231,-503,3426,0,676,1303,1670,659,1627
35,2116,972,1899,9164,3500,0,824,1310,1919,547,1971
47,2116,739,1411,8852,3470,0,863,1384,1841,638,1743
42,2116,1234,1751,10032,3388,0,1206,1951,2774,1039,3188
40,2185,3692,6225,13890,3325,1,366,621,2680,327,1259
42,2116,1192,2532,6000,3532,0,837,982,1645,485,1618
33,2116,1485,3335,15593,3396,0,1302,828,1653,366,1588
35,2116,1768,3453,15997,3180,0,1566,1042,2137,386,2134
42,2116,1218,2169,7860,3514,0,1086,1705,2648,469,3484
35,2116,861,1222,-2508,3624,0,715,2526,3229,1064,3097
42,2116,1468,2633,15989,3197,0,1894,1432,2454,483,2786
35,2185,1453,2517,15918,2967,1,3487,1601,2669,465,3160
47,2116,977,1884,10179,3446,0,1791,1359,1983,566,2162
33,2120,1705,2905,16091,2991,1,3222,1497,2716,504,3087
33,2120,1753,3266,15424,2821,1,5143,1070,2106,499,1924
45,2185,1223,2330,2313,3313,1,718,1175,1887,589,2869
35,2116,1298,2653,1357,3569,0,1081,1157,1988,392,2673
47,2116,595,1181,-1886,3549,0,947,1444,1808,692,1929
33,2189,3357,5604,3347,3192,1,1737,787,2750,378,1394
42,2116,1755,2836,16107,3167,0,1984,1321,2364,722,2250
35,2116,673,1326,-2394,3678,0,866,1437,1879,553,1732
40,2116,588,1156,7739,3386,0,852,1236,1563,685,1795
42,2116,1215,2089,8493,3517,0,984,1927,2944,477,4152
33,2189,2144,3590,4745,3149,1,2326,1120,2353,625,2013
33,2189,1237,2166,15334,2871,1,5048,1617,2510,561,2886
37,2517,2902,4858,3498,3333,1,1823,1005,2698,648,1632
47,2185,905,1306,16191,3096,1,2483,2081,2706,1058,3192
47,2116,1366,2710,13097,3506,0,717,1098,1907,497,2328
37,2116,1837,2957,-1428,3641,0,2552,1634,3002,556,3092
35,2116,1142,1833,13207,3438,0,644,2032,2943,692,3487
42,2116,1177,2186,4955,3555,0,1175,1541,2397,461,3025
35,2116,1126,2313,7256,3498,0,828,1117,1781,496,1832
42,2116,1203,2599,6287,3534,0,835,937,1592,480,1540
42,2116,1333,2428,6458,3497,0,1134,1627,2665,394,3409
35,2116,923,1915,13097,3462,0,1074,1215,1790,478,1684
40,2185,1005,1502,-2273,3539,1,866,2324,3144,891,3917
33,2189,1103,1844,15328,2992,1,4478,1934,2806,614,3280
35,2116,1224,2185,-26,3472,0,403,1523,2373,555,2592
40,2116,739,1280,12937,3410,0,749,1573,2034,798,2190
43,2120,750,1375,8736,3322,1,1644,1615,2086,776,1664
35,2116,1020,1533,5249,3476,0,402,2678,3646,799,4342
35,2185,2999,5575,15980,3060,1,2953,697,2404,304,1355
35,2116,2622,4284,-1376,3512,0,574,1184,2833,498,2264
35,2116,1712,2975,12384,3244,0,3404,1247,2299,582,2642
42,2185,1026,1550,-1064,3604,1,1840,2209,3017,877,3635
35,2116,1634,2745,9592,3333,0,2288,1552,2688,612,2938
33,2189,1828,2901,13762,3109,1,3528,1365,2462,756,2216
35,2116,4503,7230,13730,3228,0,2017,523,3133,247,948
35,2116,1159,2104,11138,3441,0,1216,1380,2114,611,2618
47,2185,1264,1798,15873,2995,1,3633,2136,3072,984,3718
33,2120,1473,2137,525,3563,1,3388,2129,3273,880,3539
35,2116,2500,4668,15638,3378,0,514,868,2383,323,1708
33,2116,915,2158,15041,3298,0,3195,940,1455,400,1530
35,2116,3916,7101,-2556,3453,0,242,439,2555,227,839
35,2116,1334,2618,-2214,3544,0,720,1143,1945,496,2360
40,2185,2918,5149,-1416,3435,1,457,809,2524,357,1660
35,2116,853,1611,10907,3475,0,885,1541,2129,549,2316
40,2185,3198,5800,-735,3361,1,313,652,2447,307,1352
33,2120,2170,3433,11814,2890,1,4506,1306,2632,677,2519
33,2120,1800,3188,15242,2808,1,5400,1096,2116,603,1872
35,2116,2312,4277,-1824,3494,0,1159,906,2246,421,1875
33,2116,3159,5973,15637,3351,0,1300,592,2349,267,1197
42,2116,1727,2607,15829,3181,0,1974,1703,2904,766,2857
47,2116,1225,1970,-1564,3525,0,1148,1767,2610,790,3129
33,2189,3569,6784,15234,2726,1,5722,466,2371,234,797
35,2116,4806,7875,-997,3462,0,424,358,3000,190,633
35,2116,1364,2315,-963,3495,0,489,1518,2427,648,3072
35,2116,2754,4650,-2121,3495,0,804,991,2693,418,1820
40,2116,1051,2051,8312,3429,0,794,1216,1839,578,2215
33,2120,1791,3116,8945,3253,1,3868,1227,2303,636,2047
37,2116,1223,2069,3604,3565,0,1125,1944,2956,524,3438
37,2116,1105,1903,2613,3529,0,769,2104,3087,455,4133
35,2445,2287,4167,15134,2786,1,4942,941,2260,452,1537
35,2116,2322,4232,9538,3356,0,1057,948,2272,480,2000
39,2518,3855,6844,14580,2837,3,4971,532,2594,367,886
42,2116,1352,2107,16036,3240,0,1554,1887,2892,750,3306
37,2116,1233,2095,1115,3565,0,1557,1989,3038,491,4406
35,2116,2027,3904,1522,3437,0,362,891,2016,458,1694
35,2116,1309,2193,-1979,3480,0,561,1564,2440,676,3380
35,2116,1063,1668,-1052,3552,0,349,2286,3200,723,3737
35,6157,219,1508,-2384,3804,1,2421,1103,1248,695,632
35,2185,1226,2116,12854,3335,1,418,1376,2113,716,3087
37,5146,3239,5320,6015,3468,3,2506,857,2725,494,1572
35,2116,589,1111,-2490,3649,0,1079,1429,1789,686,1606
35,2116,1701,2927,15946,3099,0,2741,1227,2242,626,2166
35,2116,2641,3904,-1806,3495,0,1372,1260,2871,693,2706
44,2185,1350,2315,11301,3239,1,3228,1508,2407,647,2716
40,2116,1905,3389,15786,3405,0,170,1193,2416,464,2243
33,2189,2103,3847,15377,2799,1,5289,938,2111,506,1743
33,2521,3394,4839,2310,3526,1,3592,1302,3415,751,1833
35,2116,1028,1760,12395,3434,0,1168,1972,2812,563,3801
33,2190,2479,4142,15766,2747,3,5060,1084,2596,500,2078
35,2116,1040,2284,11092,3481,0,874,999,1586,461,1660
35,2116,1643,2611,-1836,3439,0,710,1614,2747,683,3051
35,2116,558,1166,-713,3594,0,450,1328,1678,535,1739
40,2185,858,1100,6446,3511,1,806,2696,3361,1351,4135
33,2449,2385,4103,15418,2772,1,5316,1047,2434,563,2002
42,2116,1781,3671,5413,3604,0,1188,942,2032,321,1940
42,2116,1129,2178,9295,3476,0,1147,1551,2410,358,3365
35,2116,630,1357,12804,3355,0,1074,1263,1658,476,1634
35,2116,1374,2274,-2603,3464,0,125,1792,2837,602,3389
35,2116,1708,3436,15598,3355,0,1015,930,1903,432,1639
42,2116,1245,1685,9559,3301,0,1800,2024,2839,1148,3210
33,2189,2371,4220,13635,2877,1,5377,911,2228,511,1471
35,2116,2018,3814,16041,3247,0,1307,1036,2290,389,1793
45,2116,972,2487,15774,3301,0,1603,787,1307,358,1211
47,2116,728,1517,-2314,3621,0,969,1253,1699,518,1837
35,2116,2200,4066,695,3313,0,712,959,2254,431,2227
42,2116,1231,2295,9870,3513,0,1216,1502,2388,454,2823
42,2116,1258,1923,16005,3230,0,1781,1870,2760,838,2910
35,2116,1286,3315,15732,3347,0,650,753,1467,293,2066
47,2185,1205,1548,7511,3364,1,2151,2627,3577,1271,3748
35,2116,3423,6858,-103,3456,0,1001,424,2231,214,705
33,2120,1298,2317,15755,2858,1,4478,1379,2201,612,2416
33,2120,1246,2242,15317,2824,1,5247,1441,2275,560,2649
35,2116,1793,3465,3399,3494,0,454,1045,2123,445,2044
47,2116,895,1674,2698,3580,0,397,1393,1947,640,1872
40,2116,2399,4414,16258,3386,0,201,904,2333,374,1824
42,2116,1270,2392,15766,3170,0,2676,1333,2171,490,2810
35,2116,2928,4689,-1773,3543,0,1651,982,2713,508,2032
44,2185,1576,2405,14642,2921,1,4767,1664,2693,833,2706
35,2116,4138,6134,-1800,3571,0,1876,755,3148,427,1504
40,2261,1450,1951,9183,3288,1,4344,2281,3385,1074,3567
35,2116,1331,2428,13508,3355,0,991,1396,2288,521,2664
